n_fire_pixels,mean_temp_fire,max_temp_fire,mean_power_fire,sum_power_fire,mean_area_fire,sum_area_fire,time_coverage_start,time_coverage_end,mean_confidence,max_confidence
769.0,604.99054,820.93494,527.39514,5273.951,99031.52,793274.4,2025-01-01T06:40:20.822699008,2025-01-01T06:49:51.624268032,0.95,1.0
628.0,613.9293,808.711,546.2011,5462.0107,100023.07,1.00275225e+06,2025-01-01T06:50:20.822544000,2025-01-01T06:59:51.626690048,0.97,1.0
624.0,651.66797,796.129,516.0038,4644.0337,121980.16,854949.75,2025-01-01T07:00:20.822371968,2025-01-01T07:09:51.623394048,0.97,1.0
846.0,798.6133,1127.3324,237.52254,1187.6127,46195.35,141826.4,2025-01-01T07:10:20.823988992,2025-01-01T07:19:51.629302016,0.95,1.0
1100.0,636.3117,722.23755,253.1589,2025.2711,106583.336,319766.06,2025-01-01T07:20:20.823836032,2025-01-01T07:29:51.625025024,0.96,1.0
1130.0,565.0787,606.27686,85.01122,510.06735,79787.4,240492.06,2025-01-01T07:30:20.823705984,2025-01-01T07:39:51.624727040,0.97,1.0
894.0,518.7908,518.7908,120.09095,360.27286,257613.2,257615.81,2025-01-01T07:40:20.825366912,2025-01-01T07:49:51.623949952,0.98,1.0
855.0,682.7708,682.7708,295.33224,1181.3289,162217.9,162243.1,2025-01-01T07:50:20.825207040,2025-01-01T07:59:51.633454976,0.98,1.0
892.0,621.1406,622.2689,185.2231,740.8924,88918.87,179414.78,2025-01-01T08:00:20.825031936,2025-01-01T08:09:51.624716032,0.97,1.0
767.0,597.0862,679.0679,486.54404,973.0881,77240.24,154534.94,2025-01-01T08:10:20.826647936,2025-01-01T08:19:51.629820032,0.98,1.0
702.0,592.1002,618.71674,343.81683,687.63367,90540.85,181061.25,2025-01-01T08:20:20.826455040,2025-01-01T08:29:51.635347072,0.98,1.0
722.0,479.1284,480.39145,62.223717,248.89487,161189.6,322412.88,2025-01-01T08:30:20.826262016,2025-01-01T08:39:51.632863104,0.98,1.0
708.0,468.94672,468.94672,72.143745,216.43123,324411.06,324388.9,2025-01-01T08:40:20.827873920,2025-01-01T08:49:51.638547968,0.98,1.0
570.0,462.79004,468.2726,92.12897,184.25793,184567.66,369123.56,2025-01-01T08:50:20.827687040,2025-01-01T08:59:51.629172992,0.98,1.0
509.0,460.44104,510.95944,76.69815,153.3963,288187.03,576333.56,2025-01-01T09:00:20.829308928,2025-01-01T09:09:51.627437056,0.96,1.0
474.0,559.98285,707.7957,66.31338,397.88025,111594.086,334767.16,2025-01-01T09:10:20.829133056,2025-01-01T09:19:51.630000000,0.9,1.0
334.0,531.90027,552.532,107.86371,323.59113,126599.36,253200.58,2025-01-01T09:20:20.828963072,2025-01-01T09:29:51.632318080,0.95,1.0
193.0,496.58514,496.58514,66.70734,266.82935,209856.58,209868.48,2025-01-01T09:30:20.830605056,2025-01-01T09:39:51.632297088,0.89,1.0
321.0,516.4602,547.7748,54.5493,327.2958,83551.54,250675.72,2025-01-01T09:40:20.830452992,2025-01-01T09:49:51.637542016,0.81,1.0
318.0,411.391,418.2569,33.20662,232.44633,225082.31,450165.97,2025-01-01T09:50:20.830312960,2025-01-01T09:59:51.634222080,0.88,1.0
289.0,1030.0192,1030.0192,24.549892,196.39915,1302.0342,4000.0,2025-01-01T10:00:20.831985920,2025-01-01T10:09:51.634353024,0.87,1.0
253.0,481.40524,527.7368,57.235428,515.11884,79394.22,397003.06,2025-01-01T10:10:20.831869056,2025-01-01T10:19:51.635244032,0.86,1.0
349.0,520.4193,624.76605,92.10098,644.7068,47773.406,191122.94,2025-01-01T10:20:20.831763072,2025-01-01T10:29:51.634013056,0.88,1.0
375.0,666.24414,827.4418,191.52,2298.2402,94226.49,376904.3,2025-01-01T10:30:20.833474048,2025-01-01T10:39:51.631549056,0.89,1.0
282.0,568.5595,697.738,171.17737,1198.2416,90138.89,180268.48,2025-01-01T10:40:20.833394944,2025-01-01T10:49:51.634984064,0.89,1.0
465.0,593.18256,663.7133,175.08853,1400.7083,95538.66,383185.25,2025-01-01T10:50:20.833330944,2025-01-01T10:59:51.630658048,0.75,1.0
120.0,554.11444,662.4831,174.1326,870.6631,58274.715,233149.78,2025-01-01T11:00:20.835083008,2025-01-01T11:09:51.640276992,0.85,1.0
112.0,445.52335,518.0587,54.828434,493.4559,187432.72,562283.5,2025-01-01T11:10:20.835044992,2025-01-01T11:19:51.642809984,0.85,1.0
114.0,629.0814,1316.7806,30.00769,360.09232,84603.414,511230.2,2025-01-01T11:20:20.836824064,2025-01-01T11:29:51.636253056,0.78,1.0
55.0,491.7758,678.0365,45.22064,361.7651,107887.19,539452.4,2025-01-01T11:30:20.836814080,2025-01-01T11:39:51.640340992,0.86,1.0
56.0,587.3104,680.5746,107.684235,646.10535,35479.87,141862.72,2025-01-01T11:40:20.836817024,2025-01-01T11:49:51.635426048,0.87,1.0
36.0,612.1122,744.8123,348.93863,4885.141,70974.04,711866.0,2025-01-01T11:50:20.838638976,2025-01-01T11:59:51.639236992,0.76,1.0
35.0,577.7488,721.9713,475.53995,5230.9395,98369.75,885695.3,2025-01-01T12:00:20.838673024,2025-01-01T12:09:51.640233088,0.77,1.0
28.0,544.1596,701.9407,270.87457,2708.7458,109695.87,769017.3,2025-01-01T12:10:20.838723968,2025-01-01T12:19:51.638375040,0.75,1.0
26.0,617.3252,999.3213,417.91647,5014.9976,114857.39,1.1516901e+06,2025-01-01T12:20:20.840595968,2025-01-01T12:29:51.642644992,0.62,1.0
22.0,726.6938,1278.927,464.11197,4641.1196,111775.77,674290.7,2025-01-01T12:30:20.840679040,2025-01-01T12:39:51.649342976,0.66,1.0
14.0,612.50507,783.62946,565.32965,5653.297,135843.25,1.224988e+06,2025-01-01T12:40:20.840777984,2025-01-01T12:49:51.643694080,0.54,1.0
19.0,613.6002,863.128,512.39606,5123.961,105910.93,953261.1,2025-01-01T12:50:20.842695936,2025-01-01T12:59:51.646393984,0.67,1.0
19.0,636.1716,766.3442,575.3796,4603.0366,158589.66,634398.1,2025-01-01T13:00:20.842825984,2025-01-01T13:09:51.652976000,0.7,1.0
15.0,635.0429,745.6613,747.80505,5234.6357,135869.94,817349.75,2025-01-01T13:10:20.842971008,2025-01-01T13:19:51.648318976,0.67,1.0
20.0,662.01587,1008.8937,482.90405,4829.0405,83108.46,667594.56,2025-01-01T13:20:20.844934016,2025-01-01T13:29:51.648983040,0.72,1.0
26.0,640.32715,974.6955,530.41907,5304.191,119062.5,955298.1,2025-01-01T13:30:20.845108096,2025-01-01T13:39:51.649497088,0.75,1.0
37.0,599.79565,1259.9983,469.02155,5159.237,124632.04,1.1217126e+06,2025-01-01T13:40:20.845293952,2025-01-01T13:49:51.653086976,0.73,1.0
30.0,647.51685,974.3681,471.06104,5181.672,125051.4,875500.0,2025-01-01T13:50:20.847296000,2025-01-01T13:59:51.651470976,0.78,1.0
29.0,746.0496,1061.6594,437.09595,5245.1514,81059.76,899122.5,2025-01-01T14:00:20.847504000,2025-01-01T14:09:51.656726016,0.72,1.0
36.0,639.7759,1135.7412,308.74762,4939.962,96277.63,1.3524346e+06,2025-01-01T14:10:20.849523968,2025-01-01T14:19:51.650652032,0.73,1.0
43.0,605.5563,1040.2216,301.065,4817.04,79800.484,959407.1,2025-01-01T14:20:20.849746944,2025-01-01T14:29:51.649123968,0.71,1.0
53.0,654.4305,895.4414,291.97058,4963.5,65468.57,1.0507174e+06,2025-01-01T14:30:20.849975936,2025-01-01T14:39:51.653208064,0.75,1.0
54.0,626.575,783.1689,315.88968,5686.015,80339.98,1.2068509e+06,2025-01-01T14:40:20.852013952,2025-01-01T14:49:51.652752000,0.73,1.0
85.0,598.6264,891.6437,272.8364,5729.565,82538.23,1.4861872e+06,2025-01-01T14:50:20.852252928,2025-01-01T14:59:51.661820032,0.75,1.0
91.0,578.8867,832.4236,201.86502,6055.951,69767.875,1.6748941e+06,2025-01-01T15:00:20.852494976,2025-01-01T15:09:51.652907008,0.74,1.0
